"Observation URL","Observation Date",Latitude,Longitude,"Device Model","Astronomical  Constellation"
https://anecdata.org/posts/view/107695,"2020-03-31 01:35:08",39.469996,-76.954907,"Google / Pixel 4","Same picture of starlink flying over Sykesville Maryland tonight (03/30/2020). Pic #2 has starlink satellites circled"
https://anecdata.org/posts/view/107686,"2020-03-30 20:36:05",11.572260,77.580953,"Xiaomi / Redmi K20",Hydra
https://anecdata.org/posts/view/107661,"2020-03-29 22:46:05",52.665948,8.135861,"HUAWEI / ELE-L29","Orion, Gemini"
https://anecdata.org/posts/view/107607,"2020-03-28 19:14:33",52.195031,5.433420,"Apple iPhone 11 Pro","Near Orion heading from south east to north west."
https://anecdata.org/posts/view/107601,"2020-03-28 17:07:56",11.572270,77.581081,"Xiaomi / Redmi K20","Vela constellation"
https://anecdata.org/posts/view/107553,"2020-03-26 05:00:11",48.132243,-122.785864,"LG G8x","North Star"
https://anecdata.org/posts/view/107481,"2020-02-25 08:52:41",32.897543,-105.501494,"ZWO ASI071MC",Virgo
https://anecdata.org/posts/view/107401,"2020-03-19 18:50:22",48.464024,19.263496,Sony,TAU
https://anecdata.org/posts/view/107392,"2020-03-21 16:03:59",61.218079,27.702433,"Nikon D7100 + Nikkor 50 mm 1:1.4",Orion
https://anecdata.org/posts/view/107249,"2020-03-16 19:27:01",52.195034,5.433748,"Apple / iPhone12,3",Unknown
https://anecdata.org/posts/view/106988,"2020-03-13 14:24:40",52.190874,5.416330,"Canon 60D - 800mm F4 OTA","Ursa Major"
https://anecdata.org/posts/view/106822,"2020-03-10 23:22:20",42.215268,-74.630086,"Sony a6000","Some Starlink streaks from my Milky Way shokt on March 6, 2020"
https://anecdata.org/posts/view/106820,"2020-03-06 11:30:00",42.040546,-91.615700,"Canon DSLR T3i, Sigma 28mm lens","Hercules, Corona Borealis, Bootes"
https://anecdata.org/posts/view/106819,"2020-03-07 01:29:30",42.206211,-91.715210,"Canon 60Da with 28mm Sigma lens","Pisces, Aries"
https://anecdata.org/posts/view/106520,"2020-03-08 01:54:44",38.890865,-104.791115,iPhone11,Andromeda
https://anecdata.org/posts/view/106519,"2020-03-08 01:57:01",38.890899,-104.791031,iPhone11,Andromeda
https://anecdata.org/posts/view/106464,"2020-03-07 02:35:15",38.187715,-105.819626,"Nikon 5400 DSLR",Andromeda
https://anecdata.org/posts/view/106389,"2020-03-07 08:02:42",41.370794,2.124588,ASI1600MM,allsky
https://anecdata.org/posts/view/106328,"2020-03-06 03:27:41",39.910599,-105.037910,"Apple / iPhone11,2","Starlink Streak"
https://anecdata.org/posts/view/106328,"2020-03-06 03:27:41",39.910599,-105.037910,"Apple / iPhone11,2","Starlink Streak"
https://anecdata.org/posts/view/106328,"2020-03-06 03:27:41",39.910599,-105.037910,"Apple / iPhone11,2","Starlink Streak"
https://anecdata.org/posts/view/106328,"2020-03-06 03:27:41",39.910599,-105.037910,"Apple / iPhone11,2","Starlink Streak"
https://anecdata.org/posts/view/106118,"2020-03-05 02:52:09",39.961800,-105.505066,"Apple / iPhone11 pro","Satellite streak - starlink"
https://anecdata.org/posts/view/106117,"2020-03-04 10:22:35",42.725198,-78.932469,"Nikon D3400","Ursa Minor Polaris"
https://anecdata.org/posts/view/106116,"2020-03-04 10:43:08",42.725179,-78.932466,"Nikon D3400","Ursa Major Big dipper"
https://anecdata.org/posts/view/106115,"2020-03-04 10:26:13",42.725189,-78.932493,"Nikon D3400","Ursa Minor Polaris"
https://anecdata.org/posts/view/106055,"2020-03-04 19:02:46",48.886590,8.686844,"HUAWEI / BLN-L21",Cassiopeia
https://anecdata.org/posts/view/106042,"2020-02-24 19:16:16",42.936872,0.141092,SBIG,Orion
https://anecdata.org/posts/view/106010,"2020-02-24 10:54:15",44.041378,-78.384988,"Samsung 7","SpaceX Satellites"
https://anecdata.org/posts/view/105966,"2020-03-03 12:51:34",34.957078,-82.070896,"Google / Pixel 3",-
https://anecdata.org/posts/view/105960,"2019-10-30 16:55:36",23.239996,72.662075,"Honor 9 Lite",-
https://anecdata.org/posts/view/105958,"2019-11-05 16:01:42",23.239769,72.661858,"Honor 9 Lite",Orion
https://anecdata.org/posts/view/105943,"2020-03-03 03:27:19",35.089385,-106.654935,"Apple / iPhone12,3",-
https://anecdata.org/posts/view/105940,"2020-03-03 03:08:47",32.888336,-96.793156,"Apple / iPhone11,6",-
